name,Latitude,Longitude,Number,Street,City,State,County,Zip,url,count,total_homeless,adjusted_homeless
The Refuge Corporation,31.119552,-97.879098,811,Martin Luther King Jr,Copperas Cove,TX,Texas Balance of State CoC,76522,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8144,91,9198,101.07692307692308
Search for Truth Ministry,27.796465,-97.402049,709,Waco St,Corpus Christi,TX,Texas Balance of State CoC,78401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8014,91,9198,101.07692307692308
Mother Teresa Shelter & Transitional Housing For Men,27.794453,-97.405419,513,Sam Rankin St,Corpus Christi,TX,Texas Balance of State CoC,78401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13828,91,9198,101.07692307692308
Mother Teresa Shelter,27.794453,-97.405419,513,Sam Rankin St,Corpus Christi,TX,Texas Balance of State CoC,78401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14606,91,9198,101.07692307692308
"Mother Teresa Shelter, Inc.",27.794453,-97.405419,513,Sam Rankin St,Corpus Christi,TX,Texas Balance of State CoC,78401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13827,91,9198,101.07692307692308
Good Samaritan Rescue Mission,27.789618,-97.403814,210,S Alameda St,Corpus Christi,TX,Texas Balance of State CoC,78401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9803,91,9198,101.07692307692308
The Salvation Army Corpus Christi Shelter,27.794486,-97.406554,513,Josephine St,Corpus Christi,TX,Texas Balance of State CoC,78401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11453,91,9198,101.07692307692308
Red Shield Men's Lodge Corpus Christi,27.794495,-97.406407,501,Josephine St,Corpus Christi,TX,Texas Balance of State CoC,78401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11540,91,9198,101.07692307692308
Women's Shelter of South Texas,27.781538,-97.398844,813,Buford St,Corpus Christi,TX,Texas Balance of State CoC,78404,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13829,91,9198,101.07692307692308
Corpus Christi Hope House,27.755973,-97.392567,658,Robinson St,Corpus Christi,TX,Texas Balance of State CoC,78404,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11510,91,9198,101.07692307692308
Rustic House Shelter Corpus Christi,27.796184,-97.399844,919,Leopard St,Corpus Christi,TX,Texas Balance of State CoC,78401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14605,91,9198,101.07692307692308
Corpus Christi Metro Ministries House For Women and Children,27.796674,-97.411548,1919,Leopard St,Corpus Christi,TX,Texas Balance of State CoC,78408,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11447,91,9198,101.07692307692308
Turtle Creek Manor,32.797014,-96.802909,2707,Routh St,Dallas,TX,"Dallas City & County, Irving CoC",75201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8168,27,4471,165.59259259259258
The Stewpot Dallas,32.778194,-96.793961,1822,Young St,Dallas,TX,"Dallas City & County, Irving CoC",75201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11567,27,4471,165.59259259259258
Family Gateway,32.776935,-96.79435,711,S St Paul St,Dallas,TX,"Dallas City & County, Irving CoC",75201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7456,27,4471,165.59259259259258
The Bridge North Texas,32.775954,-96.791432,1818,Corsicana St,Dallas,TX,"Dallas City & County, Irving CoC",75201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10109,27,4471,165.59259259259258
Calvert Place Men's Shelter,32.775954,-96.791432,1818,Corsicana St,Dallas,TX,"Dallas City & County, Irving CoC",75201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=16010,27,4471,165.59259259259258
ARM Ministries,32.755245,-96.807315,1128,Reverend Cbt Smith St,Dallas,TX,"Dallas City & County, Irving CoC",75203,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14220,27,4471,165.59259259259258
Shared Housing,32.786025,-96.788083,402,N Good Latimer Expy,Dallas,TX,"Dallas City & County, Irving CoC",75204,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8025,27,4471,165.59259259259258
Homeward Bound  Inc,32.745438,-96.826195,233,W 10th St,Dallas,TX,"Dallas City & County, Irving CoC",75208,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7607,27,4471,165.59259259259258
Promise House,32.739894,-96.825739,224,W Page Ave,Dallas,TX,"Dallas City & County, Irving CoC",75208,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7891,27,4471,165.59259259259258
D.I.S.C MINISTRIES,32.767628,-96.751397,2706,S 2nd Ave,Dallas,TX,"Dallas City & County, Irving CoC",75210,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14703,27,4471,165.59259259259258
Dallas Life Foundation,32.771509,-96.797902,1100,Cadiz St,Dallas,TX,"Dallas City & County, Irving CoC",75215,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7376,27,4471,165.59259259259258
"Eden Outreach, Inc.",32.767144,-96.758167,3110,Metropolitan Ave,Dallas,TX,"Dallas City & County, Irving CoC",75215,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14854,27,4471,165.59259259259258
Genesis Women's Shelter,32.818185,-96.81346,4411,Lemmon Ave,Dallas,TX,"Dallas City & County, Irving CoC",75219,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7495,27,4471,165.59259259259258
The B & W House,32.722697,-96.828165,341,W Woodin Blvd,Dallas,TX,"Dallas City & County, Irving CoC",75224,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13634,27,4471,165.59259259259258
Austin Street Center,32.778953,-96.775839,2929,Hickory St,Dallas,TX,"Dallas City & County, Irving CoC",75226,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7150,27,4471,165.59259259259258
Living Word In The CliffS Ministries,32.651557,-96.830533,522,Shadyway Dr,Dallas,TX,"Dallas City & County, Irving CoC",75232,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14931,27,4471,165.59259259259258
UGM Center of Hope,32.812626,-96.829205,4815,Cass St,Dallas,TX,"Dallas City & County, Irving CoC",75235,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=16009,27,4471,165.59259259259258
Salvation Army Dallas Shelter and Services,32.813872,-96.837553,5302,Harry Hines Blvd,Dallas,TX,"Dallas City & County, Irving CoC",75235,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11545,27,4471,165.59259259259258
Union Gospel Mission,32.808938,-96.870058,3211,Irving Blvd,Dallas,TX,"Dallas City & County, Irving CoC",75247,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8172,27,4471,165.59259259259258
Soul's Harbor,32.660409,-96.624719,13134,Nile Dr,Dallas,TX,"Dallas City & County, Irving CoC",75253,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9982,27,4471,165.59259259259258
Grayson County Homeless Shelter,33.759929,-96.539426,331,W Morton St,Denison,TX,Texas Balance of State CoC,75020,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7523,91,9198,101.07692307692308
Friends of the Family,33.230704,-97.142746,1014,W University Dr,Denton,TX,Texas Balance of State CoC,76201,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7482,91,9198,101.07692307692308
Salvation Army Shelter Shelter Denton TX,33.215471,-97.113299,1508,E McKinney St,Denton,TX,Texas Balance of State CoC,76209,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11546,91,9198,101.07692307692308
SafePlace Inc.,35.858948,-101.976382,306,W 7th St,Dumas,TX,Texas Balance of State CoC,79029,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7946,91,9198,101.07692307692308
Rescue Mission of El Paso,31.765484,-106.471227,221,N Lee St,El Paso,TX,El Paso City & County CoC,79901,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7911,12,843,70.25
Opportunity House Women's Resource Center,31.764073,-106.477027,1220,Myrtle Ave,El Paso,TX,El Paso City & County CoC,79901,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15997,12,843,70.25
Opportunity House El Paso Men's Resource Center,31.764102,-106.476645,1208,Myrtle Ave,El Paso,TX,El Paso City & County CoC,79901,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15996,12,843,70.25
Annunciation House,31.760106,-106.479753,1003,E San Antonio Ave,El Paso,TX,El Paso City & County CoC,79901,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7127,12,843,70.25
Dame La Mano Crisis Center,31.751216,-106.477951,1014,S Virginia St,El Paso,TX,El Paso City & County CoC,79901,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15998,12,843,70.25
El Paso Villa Maria,31.750885,-106.485574,920,S Oregon St,El Paso,TX,El Paso City & County CoC,79901,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13210,12,843,70.25
Villa Maria,31.750885,-106.485574,920,S Oregon St,El Paso,TX,El Paso City & County CoC,79901,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=16000,12,843,70.25
La Posada Home  Inc,31.766944,-106.490106,1020,N Campbell St,El Paso,TX,El Paso City & County CoC,79902,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7689,12,843,70.25
El Paso Housing Authority HACEP Shelter Program,31.767943,-106.426947,5300,Paisano Dr,El Paso,TX,El Paso City & County CoC,79905,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11520,12,843,70.25
Salvation Army of El Paso Emergency Shelter,31.767296,-106.440735,4300,E Paisano Dr,El Paso,TX,El Paso City & County CoC,79905,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15999,12,843,70.25
Reynolds Home For Women and Children,31.726685,-106.351688,8023,San Jose Rd,El Paso,TX,El Paso City & County CoC,79915,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11541,12,843,70.25
YWCA El Paso For Women,31.796555,-106.449466,3700,Altura Ave,El Paso,TX,El Paso City & County CoC,79930,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=16001,12,843,70.25
Day Resource Center,32.745841,-97.317617,1100,E Lancaster Ave,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76102,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9690,21,2126,101.23809523809524
Huma,32.755841,-97.214109,1617,Park Pl Ave,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76112,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12680,21,2126,101.23809523809524
SafeHaven Of Tarrant County,32.732546,-97.332484,1100,Hemphill St,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76104,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7856,21,2126,101.23809523809524
Fort Worth YWCA Temporary Shelter For Women,32.752982,-97.334886,512,W 4th St,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76102,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7476,21,2126,101.23809523809524
Union Gospel Mission of Tarrant County,32.746387,-97.315333,1321,E Lancaster Ave,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76102,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8174,21,2126,101.23809523809524
Presbyterian Night Shelter For Single Women and Children,32.744672,-97.313785,2400,Cypress St,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76102,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11539,21,2126,101.23809523809524
Presbyterian Night Shelter,32.744672,-97.313785,2400,Cypress St,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76102,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7882,21,2126,101.23809523809524
The Salvation Army Fort Worth Shelter,32.746686,-97.301311,1855,E Lancaster Ave,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9692,21,2126,101.23809523809524
SafeHaven of Tarrant County,32.732546,-97.332484,1100,Hemphill St,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76104,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9691,21,2126,101.23809523809524
Tarrant County Samaritan House,32.734342,-97.331077,929,Hemphill St,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76104,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8104,21,2126,101.23809523809524
Catholic Charities,32.724676,-97.286908,2701,Burchill Rd,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76105,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7248,21,2126,101.23809523809524
Cornerstone Assistance Network,32.769586,-97.29705,3500,Noble Ave,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76111,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7357,21,2126,101.23809523809524
ACH Child and Family Services,32.709493,-97.279963,3712,Wichita St,Fort Worth,TX,"Fort Worth, Arlington/Tarrant County CoC",76119,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9693,21,2126,101.23809523809524
The Salvation Army Shelter Freeport TX,28.976191,-95.372563,1618,N Ave J,Freeport,TX,Texas Balance of State CoC,77541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14558,91,9198,101.07692307692308
"Salvation Army of Freeport, Texas Shelter",28.976191,-95.372563,1618,N Ave J,Freeport,TX,Texas Balance of State CoC,77541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14627,91,9198,101.07692307692308
The Salvation Army Center of Hope,29.294708,-94.825798,601,51st St,Galveston,TX,Texas Balance of State CoC,77551,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11454,91,9198,101.07692307692308
Christus Our Daily Bread Shelter and Services,29.302599,-94.794758,2420,Winnie St,Galveston,TX,Texas Balance of State CoC,77550,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11446,91,9198,101.07692307692308
Alcohol Drug Abuse Women's Center,29.313542,-94.769321,201,1st St,Galveston,TX,Texas Balance of State CoC,77550,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8118,91,9198,101.07692307692308
Galveston Island Family Crisis Center,29.297294,-94.789551,2127,Ave M,Galveston,TX,Texas Balance of State CoC,77550,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11521,91,9198,101.07692307692308
Hope's Door New Beginning Center,32.913847,-96.642431,218,N 10th St,Garland,TX,"Dallas City & County, Irving CoC",75040,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7794,27,4471,165.59259259259258
Salvation Army Garland TX,32.9092,-96.635946,451,W Ave D,Garland,TX,"Dallas City & County, Irving CoC",75040,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11547,27,4471,165.59259259259258
Live Oak Outreach,28.368432,-98.143234,3454,Hwy 281,George West,TX,Texas Balance of State CoC,78022,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11450,91,9198,101.07692307692308
Graham Area Crisis Center For Battered Women,33.10511,-98.59092,601,Indiana,Graham,TX,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",76450,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11523,5,236,47.2
"Lifeline Shelter for Families, Inc.",32.748366,-97.005921,202,College St,Grand Prairie,TX,"Dallas City & County, Irving CoC",75050,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13832,27,4471,165.59259259259258
Edwards Housing,32.629129,-97.065329,3119,Teodoro Dr,Grand Prairie,TX,"Fort Worth, Arlington/Tarrant County CoC",75052,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20480,21,2126,101.23809523809524
Open Arms Homeless Shelter,26.188408,-97.701247,514,S E St,Harlingen,TX,Texas Balance of State CoC,78550,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7712,91,9198,101.07692307692308
Family Crisis Center  Inc,26.187676,-97.701245,616,W Taylor Ave,Harlingen,TX,Texas Balance of State CoC,78550,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7455,91,9198,101.07692307692308
Doris and Carlos Morris Mens Development Center,29.76071,-95.35131,1811,Ruiz St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77002,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11448,42,3974,94.61904761904762
U.S. Veterans Initiative Veterans Seeking Housing,29.732948,-95.384712,4640,Main St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77002,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8169,42,3974,94.61904761904762
Miryam's Hostel,29.757047,-95.351736,2009,Congress St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77002,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15258,42,3974,94.61904761904762
New Hope Housing  Inc.,29.757257,-95.353598,320,Hamilton St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77002,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7798,42,3974,94.61904761904762
Salvation Army Center of Hope,29.758606,-95.353767,1717,Congress St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77002,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15257,42,3974,94.61904761904762
The Beacon,29.759234,-95.35981,1212,Prairie St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77002,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13485,42,3974,94.61904761904762
Star of Hope,29.753677,-95.349065,419,Dowling St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77003,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8086,42,3974,94.61904761904762
Lil Audrey's Safe Place,29.720435,-95.373606,2505,Southmore Blvd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77004,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12558,42,3974,94.61904761904762
Madge Bush Transitional Living Center,29.731638,-95.35179,3410,Drew St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77004,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13988,42,3974,94.61904761904762
Magnificat Houses,29.738932,-95.37358,1410,Elgin St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77004,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11451,42,3974,94.61904761904762
Salvation Army Houston Family Residence,29.742353,-95.368287,1603,McGowen St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77004,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7979,42,3974,94.61904761904762
Covenant House Texas,29.743088,-95.393388,1111,Lovett Blvd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77006,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7364,42,3974,94.61904761904762
The Open Door Mission,29.740675,-95.316691,5803,Harrisburg Blvd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77011,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8139,42,3974,94.61904761904762
"Crossroads At Park Place, Inc.",29.686771,-95.276522,3827,Broadway St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77017,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14905,42,3974,94.61904761904762
The Life Center for the Homeless,29.831787,-95.402613,4516,Old Yale St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77018,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10260,42,3974,94.61904761904762
The Life Center for the Homeless,29.831787,-95.402613,4516,Old Yale St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77018,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14158,42,3974,94.61904761904762
Houston Area Women's Center,29.756975,-95.398652,1010,Waugh Dr,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77019,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7626,42,3974,94.61904761904762
Grace and Joy Transitional Living,29.651403,-95.501875,6342,Ludington Dr,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77035,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15010,42,3974,94.61904761904762
Mission of Yahweh,29.845124,-95.547189,10247,Algiers Rd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77041,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7773,42,3974,94.61904761904762
Almost There Supportive Services,29.738979,-95.478788,5718,Westheimer Rd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77057,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20468,42,3974,94.61904761904762
Turning Point Center,29.800135,-95.481624,1701,Jacquelyn Dr,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77055,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9695,42,3974,94.61904761904762
Santa Maria Hostel,29.806911,-95.481661,2005,Jacquelyn Dr,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77055,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8011,42,3974,94.61904761904762
Chimney Rock Center Harris County Protective Services for Children,29.71135,-95.478004,6300,Chimney Rock Rd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77081,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7557,42,3974,94.61904761904762
Star of Hope,29.76071,-95.35131,1811,Ruiz St,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77002,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9696,42,3974,94.61904761904762
Spirit Key Transitional Housing,29.93205,-95.479957,13617,Kaltenbrun Rd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77086,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12646,42,3974,94.61904761904762
Northwest Assistance Ministries,30.00376,-95.461991,15555,Kuykendahl Rd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77090,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7822,42,3974,94.61904761904762
Sonrise Shelter,29.891523,-95.308216,5609,E Mt Houston Rd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77093,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15819,42,3974,94.61904761904762
Bonita Street House of Hope,29.860376,-95.344202,2605,Parker Rd,Houston,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77093,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14628,42,3974,94.61904761904762
Family Promise of Lake Houston,29.995899,-95.259712,111,S Ave G,Humble,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77338,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11449,42,3974,94.61904761904762
FamilyTime Crisis and Counseling Center,29.983107,-95.259673,1203,S Houston Ave,Humble,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",77338,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7460,42,3974,94.61904761904762
Good Shepherd Mission,30.72492,-95.543034,1005,Martin Luther King Jr Dr,Huntsville,TX,Texas Balance of State CoC,77320,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9798,91,9198,101.07692307692308
Brighter Tomorrows,32.821298,-96.957252,928,Bluebird Dr,Irving,TX,"Dallas City & County, Irving CoC",75061,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14945,27,4471,165.59259259259258
Genesis Center Battered Women's Shelter,32.60748,-96.278671,2675,N State Highway 34,Kaufman,TX,Texas Balance of State CoC,75142,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11522,91,9198,101.07692307692308
Hill Country Crisis Council,30.046728,-99.136932,429,Washington St,Kerrville,TX,Texas Balance of State CoC,78028,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7582,91,9198,101.07692307692308
Friends in Crisis Shelter,31.12491,-97.72489,412,E Sprott St,Killeen,TX,Texas Balance of State CoC,76541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=16005,91,9198,101.07692307692308
Jesus Hope and Love Mission,31.12546,-97.727141,818,N 4th St,Killeen,TX,Texas Balance of State CoC,76541,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=16006,91,9198,101.07692307692308
The Salvation Army Laredo Men's Shelter,27.506404,-99.499879,408,Matamoros St,Laredo,TX,Texas Balance of State CoC,78040,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11460,91,9198,101.07692307692308
Bethany House Transitional Housing For Families,27.504705,-99.504102,815,Hidalgo St,Laredo,TX,Texas Balance of State CoC,78040,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11455,91,9198,101.07692307692308
GODTEL Ministries,30.695139,-94.930338,1607,S Washington Ave,Livingston,TX,Texas Balance of State CoC,77351,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10279,91,9198,101.07692307692308
The Salvation Army Longview Social Services and Shelter,32.492536,-94.732245,519,E Cotton St,Longview,TX,Texas Balance of State CoC,75601,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11558,91,9198,101.07692307692308
